frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,2.35,0.41,2.35,0.41,-0.41,-0.18,1.94,1.94,1.94
20.20,2.34,0.37,2.34,0.37,-0.37,-0.18,1.97,1.97,1.97
20.40,2.33,0.33,2.33,0.33,-0.33,-0.17,2.00,2.00,2.00
20.61,2.32,0.30,2.32,0.29,-0.29,-0.16,2.03,2.03,2.02
20.81,2.31,0.26,2.31,0.26,-0.26,-0.15,2.05,2.05,2.05
21.02,2.30,0.22,2.30,0.22,-0.23,-0.14,2.07,2.07,2.08
21.23,2.28,0.20,2.28,0.19,-0.20,-0.14,2.08,2.08,2.09
21.44,2.27,0.17,2.27,0.17,-0.18,-0.13,2.10,2.10,2.10
21.66,2.26,0.15,2.26,0.16,-0.15,-0.12,2.11,2.11,2.11
21.87,2.25,0.14,2.25,0.14,-0.14,-0.11,2.11,2.11,2.11
22.09,2.24,0.12,2.24,0.12,-0.12,-0.10,2.12,2.12,2.12
22.31,2.23,0.11,2.23,0.11,-0.11,-0.09,2.12,2.12,2.12
22.54,2.22,0.10,2.22,0.10,-0.10,-0.08,2.12,2.12,2.12
22.76,2.21,0.09,2.21,0.09,-0.09,-0.07,2.12,2.12,2.12
22.99,2.20,0.09,2.20,0.08,-0.08,-0.07,2.11,2.11,2.11
23.22,2.18,0.08,2.18,0.07,-0.07,-0.06,2.11,2.11,2.11
23.45,2.17,0.06,2.17,0.06,-0.06,-0.05,2.11,2.11,2.11
23.69,2.16,0.05,2.16,0.05,-0.05,-0.04,2.11,2.11,2.11
23.92,2.15,0.04,2.15,0.04,-0.04,-0.03,2.11,2.11,2.11
24.16,2.14,0.03,2.14,0.03,-0.03,-0.02,2.11,2.11,2.11
24.40,2.12,0.02,2.12,0.02,-0.02,-0.01,2.10,2.10,2.11
24.65,2.11,0.01,2.11,0.01,-0.01,0.00,2.10,2.10,2.10
24.89,2.10,0.00,2.10,0.00,0.00,0.01,2.10,2.10,2.10
25.14,2.09,-0.01,2.09,-0.01,0.01,0.02,2.10,2.10,2.10
25.39,2.07,-0.02,2.08,-0.02,0.02,0.03,2.10,2.10,2.10
25.65,2.06,-0.04,2.06,-0.03,0.03,0.04,2.10,2.10,2.10
25.91,2.05,-0.04,2.05,-0.04,0.04,0.05,2.09,2.09,2.09
26.16,2.04,-0.05,2.04,-0.05,0.05,0.06,2.09,2.09,2.09
26.43,2.02,-0.07,2.02,-0.07,0.07,0.07,2.09,2.09,2.09
26.69,2.01,-0.08,2.01,-0.08,0.08,0.08,2.09,2.09,2.09
26.96,2.00,-0.09,2.00,-0.09,0.09,0.09,2.08,2.08,2.09
27.23,1.98,-0.09,1.98,-0.10,0.10,0.11,2.08,2.08,2.08
27.50,1.97,-0.11,1.97,-0.11,0.11,0.12,2.08,2.08,2.08
27.77,1.96,-0.11,1.96,-0.11,0.12,0.13,2.07,2.07,2.07
28.05,1.94,-0.12,1.94,-0.12,0.12,0.14,2.07,2.07,2.07
28.33,1.93,-0.13,1.93,-0.13,0.13,0.15,2.06,2.06,2.06
28.62,1.92,-0.14,1.92,-0.14,0.14,0.16,2.06,2.06,2.06
28.90,1.90,-0.16,1.90,-0.15,0.15,0.17,2.05,2.05,2.06
29.19,1.89,-0.16,1.89,-0.16,0.16,0.18,2.05,2.05,2.05
29.48,1.87,-0.18,1.87,-0.17,0.17,0.19,2.05,2.05,2.05
29.78,1.86,-0.18,1.86,-0.18,0.18,0.20,2.04,2.04,2.04
30.08,1.84,-0.19,1.84,-0.19,0.19,0.21,2.04,2.04,2.04
30.38,1.83,-0.20,1.83,-0.20,0.20,0.22,2.03,2.03,2.03
30.68,1.82,-0.21,1.82,-0.21,0.21,0.24,2.03,2.03,2.03
30.99,1.80,-0.22,1.80,-0.22,0.22,0.25,2.02,2.02,2.02
31.30,1.79,-0.22,1.79,-0.23,0.23,0.26,2.01,2.01,2.01
31.61,1.77,-0.24,1.77,-0.23,0.24,0.27,2.01,2.01,2.01
31.93,1.75,-0.24,1.75,-0.24,0.24,0.28,2.00,2.00,2.00
32.24,1.74,-0.25,1.74,-0.25,0.25,0.29,1.99,1.99,1.99
32.57,1.72,-0.26,1.72,-0.26,0.26,0.30,1.99,1.99,1.99
32.89,1.71,-0.27,1.71,-0.27,0.27,0.31,1.98,1.98,1.98
33.22,1.69,-0.28,1.69,-0.28,0.28,0.32,1.97,1.97,1.97
33.55,1.68,-0.29,1.68,-0.29,0.29,0.33,1.96,1.96,1.97
33.89,1.66,-0.30,1.66,-0.30,0.30,0.34,1.96,1.96,1.96
34.23,1.64,-0.30,1.64,-0.30,0.30,0.35,1.95,1.95,1.95
34.57,1.63,-0.31,1.63,-0.31,0.31,0.36,1.94,1.94,1.94
34.92,1.61,-0.32,1.61,-0.32,0.32,0.37,1.93,1.93,1.93
35.27,1.60,-0.32,1.60,-0.32,0.32,0.38,1.92,1.92,1.92
